Amanda,Aardsma,15th Annual Miss Teen USA Pageant (1997) (TV)  ,,,[Herself]
Amanda,Aardsma,Bob Dylan: Beyond Here Lies Nothin' (2009) (V)  ,,,[Girl]
Amanda,Aardsma,Dough Boys (2009)  ,,,[Palova]
Amanda,Aardsma,Hyenas (2011)  ,,,[Valerie]
Amanda,Aardsma,Just Like Family (2009)  ,,,[Shelia McMichaels]
Amanda,Aardsma,Orlando's Bed and Breakfast (2007) (TV)  ,,,[Maria Charles]
Amanda,Aardsma,Table One (2000)  ,,,[Rowdy's Date]
Amanda,Aardsma,The Kings of Brooklyn (2004)  ,(uncredited),,[Wallstreet Babe]
Amanda,Aardsma,They Are Coming: The Prologue (2010)  ,,,[Jenny]
Amanda,Aardsma,Whatever Happened to Barker Daniels? (2009) {{SUSPENDED}},,,[Susie Crane]
Amanda,Aardsma,"CSI: Crime Scene Investigation" (2000) {Meet Market (#7.14)} ,,,[Sexy Mistress]
Amanda,Aardsma,"Days of Our Lives" (1965) {(#1.12157)} ,,,[Lizbeth]
Amanda,Aardsma,"Days of Our Lives" (1965) {(#1.12159)} ,,,[Lizbeth]
Amanda,Aardsma,"Days of Our Lives" (1965) {(#1.2157)} ,,,[Lizbeth]
Amanda,Aardsma,"Judging Amy" (1999) {The Bottle Show (#3.20)} ,,,[Chloé]
Amanda,Aardsma,"Poop Notice" (2013) {Sit Up (#1.6)} ,,,[Amber]
Amanda,Aardsma,"Temptation" (2007)  ,,,[Herself - Co-Host (2007)]
Hanna,Aare,The Perfect Mistress II (2015)  ,,,[Nurse]
Hanna,Aare,The Perfect Mistress III (2017)  ,,,[Head Nurse]
Anu,Aaremäe,Magnus (2007)  ,,,[Girl from the Hospital]
Anu,Aaremäe,"Klass - Elu pärast" (2010) {Ma ei sure teie kiuste (#1.2)} ,,,
Helen,Aaremäe,"Kättemaksukontor" (2009) {Surnud mehe kättemaks 1 (#5.7)} ,,,[Elina Tasar]
Dorthe,Aarestrup,"Hvem vil være millionær?" (1999) {(#14.4)} ,,,[Herself - Participant]
Fie,Aarestrup,Spies & Glistrup (2013)  ,,,[Glistrups barn]
Aaries,,Say My Name (2009/I),,,
Aïcha,Aarif,Raja (2003)  ,,,[Jardinière 1]
Jmiaa,Aarif,Raja (2003)  ,,,[Jardinière 3]
Kaija,Aarikka,Spektroliittia, bromidioksidia, ruusukvartsia... (1958) (TV)  ,,,[Herself]
Kaija,Aarikka,"Nettikymppitonni" (2000) {(2001-07-27)} ,,,[Herself]
Kaija,Aarikka,"Nettikymppitonni" (2000) {(2001-08-03)} ,,,[Herself]
Kaija,Aarikka,"Nettikymppitonni" (2000) {(2001-08-10)} ,,,[Herself]
Kaija,Aarikka,"Nettikymppitonni" (2000) {(2001-08-17)} ,,,[Herself]
Aarlin,,My Brother (2006)  ,,,[Sister Valerie]
Amy,Aarmes,Stuck (2003/II)  ,,,[Babysitter]
Aarminta,,Paradeshi Chadhei (1990)  ,,,
Kimberleigh,Aarn,Presumed Innocent (1990)  ,,,[Prosecuting Attorney]
Kimberleigh,Aarn,Quick Change (1990)  ,,,[Bank Teller]
Kimberleigh,Aarn,The Bonfire of the Vanities (1990)  ,,,[Media Jackal]
Kimberleigh,Aarn,The Serpent and the Rainbow (1988)  ,(as Kimberleigh Burroughs),,[Margrite]
Kimberleigh,Aarn,"Angel" (1999) {Somnambulist (#1.11)} ,(as Kimberliegh Aarn),,[Precinct Clerk]
Kimberleigh,Aarn,"Family Law" (1999) {Film at Eleven (#2.12)} ,,,[Police Photographer]
Carla,Aarnegg,Drei Väter um Anna (1939),,,
Maryam,Aarnes,Varg Veum - Svarte får (2011)  ,,,[Prostituert]
Janet Haak,Aarness,Thurston (2008)  ,,,[Thruston's mom]
